sector,company,ticker,listing,mktcap_usd_bn,rev_yoy,op_margin,fwd_pe,ev_ebitda,ev_rev,ret_1y,thermal_purity,pure_play,note
AI Data Center Cooling,Vertiv,VRT,US,122,0.28,0.188,46,51,11.3,1.73,純(高),是,"散熱領頭羊;backlog>$15B;NVIDIA 參考設計"
AI Data Center Cooling,nVent,NVT,US,28,0.11,0.162,35,32,6.7,1.43,多元,否,"液冷為成長引擎;backlog 約 3x"
AI Data Center Cooling,Schneider,SU.PA,EU,160,0.05,0.174,28,21,4.3,0.27,多元,否,"整併中老二(Motivair);grid-to-chip"
AI Data Center Cooling,Supermicro,SMCI,US,18,1.23,0.045,9,16,0.8,-0.36,OEM,否,"DLC 領先但毛利薄;治理爭議已解"
AI Data Center Cooling,Parker Hannifin,PH,US,119,0.06,0.217,28,23,6.1,0.43,~1%散熱,否,"散熱僅約 1% 營收;快接頭供應"
AI Data Center Cooling,Flex,FLEX,US,52,0.08,0.054,31,27,2.0,2.26,EMS,否,"將分拆 CPI(含 JetCool)為新純標的"
AI Data Center Cooling,Delta 台達電,2308.TW,TW,187,0.33,0.178,46,n/a,n/a,4.54,多元,否,"電源+散熱一體;液冷約 9% 營收"
AI Data Center Cooling,Auras 奇鋐,3324.TWO,TW,3.2,0.48,0.141,21,n/a,n/a,1.32,純散熱,是,"純散熱高 beta;2026 指引 +60-70%"
AI Data Center Cooling,AVC,3017.TW,TW,31,1.07,n/a,23,n/a,n/a,2.17,DC散熱,近似,"台灣熱模組龍頭;能見度到 2029"
AI Data Center Cooling,Wiwynn 緯穎,6669.TW,TW,30,1.29,0.066,13.5,13.6,0.9,1.03,ODM,否,"伺服器 ODM;散熱內嵌於機櫃"
AI Data Center Cooling,Sunon 建準,2421.TW,TW,1.3,0.24,0.158,13.4,9.9,1.8,0.41,多元,否,"風扇廠;冷板/CDU 下半年放量"
AI Data Center Cooling,Lotes 嘉澤,3533.TW,TW,8.2,0.12,0.30,22.8,18.5,7.0,0.67,連接器,否,"連接器核心;切入 UQD 快接"
AI Data Center Cooling,Envicool 英維克,002837.SZ,CN,15,0.32,0.086,77,n/a,n/a,2.37,純(最近),近似,"Q1 淨利 -82%;估值高"
AI Data Center Cooling,Asetek,ASTK.OL,NO,0.064,-0.21,n/a,n/a,n/a,1.4,1.05,~0%散熱,否,"DC 業務休眠;非 AI 散熱標的"
